"243_120426"	"429_120507"	"486_120515"	"520_120515"	"708_120531"	"663_120530"	"607_120523"	"602_120523"	"384_120503"	"444_120507"	"545_120516"	"369_120502"	"637_120524"	"196_120424"	"952_131107"	"289_120430"	"500_120515"	"706_120605"	"711_120531"	"407_120503"	"508_120515"	"829_130725"	"787_130530"	"298_120430"	"564_120517"	"460_120514"	"626_120524"	"680_120604"	"638_120524"	"605_120523"	"502_120515"	"360_120502"	"369_120502"	"04_120405"	"501_120515"	"253_120426"	"470_120514"	"534_120516"	"352_120501"	"331_120501"	"505_120515"	"551_120517"	"498_120515"	"938_131101"	"456_120507"	"691_120605"	"152_120419"	"647_120529"	"285_120430"	"213_120425"	"950_131107"	"461_120514"	"386_120503"	"812_130702"	"405_120503"	"340_120501"	"274_120430"	"547_120516"	"951_131107"
"A6PW57"	3971.483764	3854.438804	3184.20932	3219.071994	3155.631054	3765.748724	3469.744259	3606.975924	3255.7163	3379.620434	3481.95387	3421.858027	3642.797915	3902.374586	2828.609279	3356.503828	2687.80426	3385.063319	3270.767046	2824.551706	3431.673782	3200.500113	3584.860894	3831.744898	3522.558425	3605.170889	3391.649742	3458.450468	3443.281195	3493.353123	3408.736618	3223.553971	3421.858027	2613.159609	3539.333583	4031.796304	3589.85877	3551.221161	3432.357011	3504.022987	3703.587414	3290.9233	3660.636496	3029.383089	3871.433629	3338.619867	3484.358908	3438.820553	3566.320348	3493.463448	3602.839853	3228.395651	3493.841183	3427.56665	3310.817875	4901.995247	3417.212488	3696.581547	3259.346707
"Q8WXA3-4"	255.9012259	258.2960252	200.4685088	205.4906052	260.2488243	NA	NA	234.6864746	NA	228.1880804	212.0468767	NA	243.4465225	229.2848249	199.5348136	242.06518	210.3231958	241.0368185	219.2646224	214.6846424	240.570382	239.5600736	235.3433117	247.4242394	269.6961524	219.3367755	221.9967011	225.392268	260.1271277	232.4859499	NA	226.15806	NA	210.0632739	249.7798418	228.3677364	221.1845196	220.7643769	222.063601	226.476217	217.6779167	NA	203.9918413	NA	225.1144482	226.2298005	233.0144199	240.8192907	217.0638602	224.3836421	225.7791236	232.291947	255.0601554	202.7854873	NA	232.3568261	226.2169666	217.9147718	233.4858516
"H0YMJ0"	664.5595066	695.8313519	700.7511532	648.4216189	669.2800411	NA	690.0476212	666.3887374	NA	657.2454528	669.8680153	568.8139802	636.1759979	708.4946933	700.6954866	791.2863015	1921.707194	700.1113189	739.6529435	NA	617.5252445	804.1766407	657.4877187	672.5333062	697.5843394	724.8785788	698.9523757	688.1690703	671.8907786	654.9354795	559.8884327	715.4290889	568.8139802	556.3381621	652.2976613	711.7683812	796.3989868	705.8351489	725.8754728	669.1293944	667.4858787	563.942707	703.290874	602.729349	679.0337035	617.6047753	773.8023747	665.8682858	688.4879636	725.5099186	662.6976243	583.2611841	634.8555722	622.6320108	806.61913	721.035233	701.9191695	634.1670157	702.9866522
"Q96A46"	61.54319951	NA	84.75909295	84.84784949	NA	NA	NA	52.08764016	NA	NA	NA	NA	NA	NA	NA	NA	63.73537156	NA	NA	NA	NA	NA	NA	68.2552729	67.96442236	70.64382083	100.2446663	79.02762487	NA	NA	NA	69.45147385	NA	77.00693096	NA	76.51718615	NA	73.04270351	59.71921237	68.03313617	63.99162366	NA	NA	NA	NA	73.92862867	NA	78.19451611	72.7483396	59.55328649	NA	NA	72.01597057	NA	75.46052293	63.94686375	NA	85.77971062	71.79283496
"Q6NV74"	29432.64946	32792.40711	31225.35402	34342.49401	30021.78388	34354.47224	30610.41148	28140.38264	30215.21014	27872.33768	27474.9906	33026.13879	28329.89195	29416.11928	30082.55287	28935.38305	12926.15951	31247.99308	28850.20221	29502.89109	30683.22775	30106.1942	30143.16419	27559.4217	28923.88242	30989.0191	29654.39363	30326.56879	28218.69344	32331.40592	31660.23442	28542.78972	33026.13879	29782.42714	29547.4733	30262.41067	29543.27567	30467.45436	30259.04674	30899.0741	32326.8179	29889.43976	31412.42064	29885.32799	36058.90349	29180.1417	33581.706	32709.87844	29250.72683	29350.2254	30373.00722	29373.76629	31284.09728	32190.12104	27940.55869	25328.47498	30370.97442	30376.92855	28757.13138
"Q15750"	4135.834031	3960.169406	4128.486832	3881.532003	3995.258513	4091.14367	3832.183442	3995.929322	3754.842986	3945.516947	4024.055058	3981.164901	4040.532269	4602.542292	4188.29389	4100.84154	3496.580172	3875.707672	3992.912396	4515.379581	4011.253293	3871.751024	3933.095017	4024.904919	3994.238583	4076.44805	4262.186204	3843.807369	3803.63912	3962.006705	3924.09378	3839.903581	3981.164901	4505.986466	4157.983103	4152.39846	3804.288312	4003.243958	4012.007472	3945.209603	3876.548948	4223.05123	4010.647555	3892.123163	3996.930018	4136.997978	3523.981464	3963.135793	3916.116963	3830.134175	4301.482576	3841.340054	4007.710792	3959.64325	4174.544063	4296.226906	3900.605968	4098.871625	4012.923612
"Q9BXC9"	2483.278588	2347.069844	3009.710578	2622.417082	2382.0962	2914.228791	2481.654525	2420.297484	2683.282066	2582.614643	2563.656098	2763.856075	2699.335565	2525.223215	2815.652897	2536.81786	2655.357734	2470.487122	2486.182372	2469.250134	2466.891822	2457.827038	2533.865787	2510.391606	2344.436596	2548.456755	2628.233195	2412.605732	2520.369088	2588.24178	2495.346191	2614.779942	2763.856075	2517.00776	2526.851062	2441.03524	2574.679334	2485.834348	2467.35202	2396.953795	2349.733664	2766.462675	2554.939415	2579.332521	2460.812815	2576.911075	2317.474549	2424.089848	2540.251093	2226.818518	2436.2802	2336.995323	2446.58842	2356.2111	2537.373129	2784.476806	2651.778517	2361.560957	2510.515427
"Q5QPI9"	315.1919645	512.6458728	440.6591753	382.2830767	494.7096699	NA	452.4401018	393.5111741	NA	417.477662	483.4668926	400.699501	436.2483046	490.1501823	451.2940055	472.3758511	452.2099041	497.7908701	409.6802446	NA	492.4301232	465.0878513	NA	436.8622041	494.9361204	411.0352381	465.8906324	451.3632523	476.279467	494.6548406	489.5562768	461.4641908	400.699501	467.3295696	466.9027191	485.2871899	438.7082873	414.1159127	413.929504	414.1360338	470.9613282	NA	462.3552156	NA	537.1649494	497.3857167	550.2333471	490.6258539	422.4245933	434.714295	NA	444.1338874	457.3954354	460.1035443	NA	NA	467.5474437	470.345929	477.8498231
"P45974"	49855.28587	53842.09735	50217.06935	49870.09181	50463.85428	52644.2679	50321.32012	49337.95338	51669.07823	49398.91384	52437.90562	52292.8311	51419.59059	49142.64732	49822.6542	50453.416	44158.11625	51327.05516	47952.23697	50363.83619	47500.34012	46739.86791	47604.62501	48471.85664	50775.06799	46826.74791	53397.33741	49767.27118	49355.29423	49510.37953	51839.0045	46821.06459	52292.8311	62381.04233	49977.5806	52501.95267	50979.07051	49575.17366	49703.59262	50015.38426	50006.90573	50452.5332	51257.35184	51610.17863	54378.682	50316.73888	44409.07613	49730.9359	47475.53427	46649.88228	51795.258	54838.27528	51653.58956	48856.89036	48914.77036	46744.83118	46178.07801	51136.11882	48975.33013
"O43617"	9255.068017	9555.775533	8945.670144	9029.264891	9423.735756	8762.897487	9148.84668	9111.562512	9869.821625	9014.897712	9008.489282	10101.92441	8738.656401	8830.699654	8946.172441	8782.614747	8183.9588	9636.941267	8517.598748	8124.766275	8215.929464	8494.252161	9450.924444	8774.718789	9390.406112	8586.741025	9277.646667	9393.923857	8975.904676	8949.000616	9267.711617	9140.003169	10101.92441	7382.421698	9051.343168	8676.819007	8918.297425	9085.067345	8613.728904	9223.938311	9170.148494	9492.323057	8729.506689	8979.79356	9868.97734	9084.249038	9126.081196	9208.163252	8875.083707	9306.930988	9085.528517	9414.80903	9254.276711	9381.193151	8651.865862	8303.427083	8908.723311	9184.711821	8677.747378
"P17948-2"	NA	NA	85.73221879	55.92949643	NA	NA	NA	NA	NA	47.69486121	41.60399916	65.07669407	NA	NA	51.86123963	NA	34.61627867	NA	83.27535158	NA	33.93924562	47.34625432	NA	NA	60.08369138	68.48712993	NA	66.80873062	NA	NA	NA	NA	65.07669407	NA	95.05529469	83.9730109	NA	59.79277413	59.4328876	29.25535849	58.33939951	57.55683187	NA	83.55313406	NA	66.16025753	83.25079129	55.08435236	54.69394984	59.93604613	NA	43.35049216	59.69191537	NA	NA	23.47413096	58.9041961	47.99021442	54.85409653
"Q7Z624"	288.4285755	299.1744842	245.838474	279.0244468	NA	300.3727138	NA	394.4194292	NA	267.1249041	278.9618622	247.0683601	NA	354.2254565	295.581235	299.3198182	434.0830796	263.3872478	296.9596275	358.1209884	282.0249422	269.439492	284.2499459	306.6101082	277.4057349	374.6828664	264.3259285	282.8367462	323.998248	287.006043	NA	262.3478533	247.0683601	199.8477415	NA	307.0342292	NA	304.3711957	318.1091889	281.6354245	275.0489685	311.4456567	314.4173089	280.2102218	270.9910565	286.9493618	289.5190507	279.0001705	319.9721725	250.0043883	290.5782954	279.2198559	257.9458896	NA	NA	309.4112555	290.9093539	341.359408	271.6883458
"Q9BSJ2"	3037.667586	3193.79177	3149.745157	3091.463564	3165.847222	3225.920001	3061.410764	3108.773919	3213.747055	3277.155638	3105.166237	3151.813896	3331.932829	3163.865783	3217.889987	3244.85084	3199.139709	3148.968924	3369.664196	3288.755391	3030.030855	3177.933375	3289.019652	3122.709871	3206.800285	3180.422883	3092.136435	3204.858496	3209.530196	3246.53328	3230.760634	3228.51845	3151.813896	3633.149913	3217.273211	3123.728064	3451.44909	3131.703722	3090.227962	3195.400116	3175.577435	3260.415029	3195.957606	3272.946701	3155.604115	3408.18777	3217.357303	3245.775885	3242.580436	3151.643676	3533.806455	3321.002201	2981.36273	3208.846854	3223.286206	3293.497275	3601.998681	2724.80358	3192.228455
"C9JYJ2"	214.9544592	306.7822752	257.061268	260.2390686	387.8852903	235.0385078	348.927169	234.8496766	205.344155	227.7043502	251.7337013	177.118897	239.6659629	237.8877611	216.1281051	278.7167213	213.9753996	227.7351315	571.5838425	219.7381965	190.9778912	266.8095139	240.5163889	280.7098573	192.0841756	402.3452543	211.3038658	247.2146819	208.0060662	233.6528111	221.9737213	236.6726405	177.118897	248.1860849	188.7141902	240.739611	240.2902197	238.2588876	242.4237167	281.3479155	242.7581043	257.062593	257.5947799	201.0222637	210.6155862	198.3922863	482.749714	297.3241226	293.7546062	388.1887142	NA	267.8126479	274.3610889	208.1715083	166.9087835	273.7479894	280.6942827	224.6540089	365.9372729
"Q9Y2S0"	484.7859939	503.602074	546.1818758	505.16475	460.4449461	NA	NA	509.6183688	NA	578.6294094	493.5072069	508.2290146	514.711242	507.28199	518.8297021	492.6555421	649.3904289	511.3060219	531.6808875	506.8699566	513.1027587	528.2304443	523.4694649	475.9587708	560.1016358	496.3340325	NA	535.9965583	511.0888242	522.8561725	NA	433.4865363	508.2290146	522.7586507	534.6723582	551.4119466	528.5848092	510.2751965	435.507717	523.0199012	491.0336778	515.1638949	NA	525.9631653	NA	513.8326819	469.220101	533.6408469	524.4572219	530.026157	505.7699819	731.5936463	499.2557611	513.0219747	NA	520.6016507	494.6373918	556.4831239	580.1613401
"Q8IYB4-2"	15824.59483	16614.58357	14638.14535	14568.83853	15367.62557	17982.24031	14746.91275	16043.51863	15374.80426	14982.5203	15509.6927	15835.22936	14934.9593	15353.06974	14803.75488	15033.12736	7691.069389	15078.99665	15166.57228	14076.69895	15397.62761	15366.74704	15232.48882	17073.93366	14545.62329	14598.94204	15752.05986	15174.90225	15587.00636	15344.09688	15934.97151	16917.13922	15835.22936	13826.98235	15599.96211	15422.8132	15799.2971	15677.28822	16292.75137	14992.80292	15394.30351	15799.02693	16089.91478	14100.15953	14122.11376	15289.69554	16078.28497	15532.51953	17113.1119	15671.21953	15423.0884	16297.07064	14963.47222	15330.97927	14777.04874	16564.38382	13962.66091	16734.50359	15615.64554
"Q8NHQ8"	299.9080844	316.3306316	341.3949934	316.3416236	365.6358772	NA	NA	NA	NA	337.2168049	315.7386901	258.1341284	358.536863	318.3728866	359.5345092	318.0244689	438.8774228	326.4112658	316.8203593	NA	289.4104824	345.9142071	306.9682908	340.4177984	276.6541169	315.2392938	266.0213552	299.1022391	332.1987217	314.063525	NA	320.945209	258.1341284	NA	291.131721	296.2510057	284.1153775	316.4791126	317.2347854	312.2342266	300.3989232	NA	NA	NA	NA	273.7350136	319.6048758	274.9667774	NA	311.0240463	NA	287.8660149	336.2632314	288.9018258	NA	295.1479111	310.4485227	317.173148	330.3140174
