"gene"	"meanVal"	"log2FC"	"pval"	"padj"
"ENSG00000183090"	51.6098541523988	1.24314893113574	1.62911449397537e-06	0.0029341323846599
"ENSG00000230882"	26.1609407098814	1.07562468144352	7.17807763984282e-06	0.00650296054813761
"ENSG00000171476"	2473.99211779396	0.473718792193081	1.70460255891471e-06	0.0029341323846599
"ENSG00000198185"	254.15003181179	0.419015823500257	4.59783314634039e-06	0.00555465485331467
"ENSG00000230910"	997.801193308892	0.41515807209068	4.23086860229368e-06	0.00555465485331467
"ENSG00000163626"	317.968763206386	0.387737179464623	5.16321836129871e-06	0.00555465485331467
"ENSG00000063322"	1995.02642938881	0.34565270910386	4.87538734711272e-06	0.00555465485331467
"ENSG00000114902"	977.286284047894	0.324044195531879	9.76694821595759e-06	0.00820283388648256
"ENSG00000123472"	2238.57607783458	0.320301516559325	5.01263994522266e-07	0.00172565142754235
"ENSG00000106665"	5527.67506745313	-0.30613700280268	3.61613740405543e-06	0.00555465485331467
"ENSG00000133069"	2885.56445193474	-0.323933930565251	6.24374749845718e-06	0.00604906641348738
"ENSG00000181274"	178.637599378766	-0.330600056608701	1.44923070857715e-05	0.00997824327469537
"ENSG00000176463"	705.554159667317	-0.353580015046814	1.22290075582648e-05	0.00915208291740924
"ENSG00000114126"	1264.93661377802	-0.410104777068352	4.85362726474843e-07	0.00172565142754235
"ENSG00000158169"	125.509552357252	-0.50900657268629	1.77490892091853e-07	0.00101838357519235
"ENSG00000053702"	367.425986016246	-0.53796396750267	4.30930670513179e-06	0.00555465485331467
"ENSG00000198624"	359.887383825342	-0.541573346754302	1.66463013629162e-06	0.0029341323846599
"ENSG00000151552"	6695.75843769817	-0.552033674346182	1.1146126637089e-05	0.00872083080928241
"ENSG00000197256"	757.9643574472	-0.564894256613847	1.33777359897571e-05	0.00959462373298702
"ENSG00000105655"	752.264149525372	-0.620054729407547	6.3256373347338e-06	0.00604906641348738
"ENSG00000188783"	895.563843765993	-0.720576972073486	1.05775952109807e-06	0.00260103066238016
"ENSG00000196517"	362.764115325494	-0.722850137622784	6.03625369960338e-08	0.00087413946032195
"ENSG00000088836"	133.499378885578	-0.818519949624538	1.00075240583358e-05	0.00820283388648256
"ENSG00000154864"	171.694133604017	-0.975385473981599	1.01567357267408e-07	0.00087413946032195
"ENSG00000196154"	43.0328861471445	-1.24778238789757	8.51228887547438e-07	0.00244203380689234
