"gene"	"meanVal"	"log2FC"	"pval"	"padj"
"ENSG00000227232"	152.84733915861	-0.0753985685144836	0.386556504194477	0.494779677773611
"ENSG00000268903"	70.7173865477442	0.0196659338069648	0.914174314780506	0.939270331370512
"ENSG00000279457"	366.38863102639	-0.286714769748272	0.0118230142543103	0.0311748689276108
"ENSG00000228463"	53.4956846615528	0.211616851651373	0.285604913314762	0.39197920067048
"ENSG00000225972"	96.2725502865896	-0.742849379550576	4.06229572527701e-06	0.000115801018461018
"ENSG00000237973"	3821.42940451788	-0.647540952652324	4.24511105016813e-05	0.000480730898069368
"ENSG00000229344"	175.806668183782	-0.543054435213828	0.000189923912434916	0.00137822947080195
"ENSG00000248527"	21960.3731244791	-0.597079786534648	1.44514437589212e-05	0.000242922559982725
"ENSG00000228327"	75.4326486169569	0.270597213877949	0.0590797753754947	0.11156518732773
"ENSG00000237491"	66.754036765598	-0.0843956089652738	0.253411391606158	0.356820936417798
"ENSG00000228794"	532.825968411843	0.281810649690813	0.00078662899739124	0.00393211836855177
"ENSG00000225880"	27.130585202386	0.0345675386642707	0.742903525072162	0.811447323882678
"ENSG00000188976"	1167.33957252106	0.172706767908003	0.0060834109882711	0.018377282088647
"ENSG00000187961"	350.359735949772	-0.218847852116924	0.0146635829452951	0.0367989872047478
"ENSG00000272512"	106.334937567749	-0.237105267677147	0.207020114072574	0.304775677688267
"ENSG00000188290"	618.66083141661	0.342051992667613	0.0255877889646292	0.0570004673803756
"ENSG00000187608"	516.63811911134	0.309715339305871	0.0416082349926314	0.0842888724171077
"ENSG00000188157"	2464.56960898697	0.168780954965248	0.102119980625007	0.173780645229682
"ENSG00000217801"	157.221925096707	0.159427767251445	0.105569955446728	0.178329307468551
"ENSG00000131591"	509.005552989594	0.116632619628059	0.0978253295103165	0.167816164726039
"ENSG00000186891"	57.6551858726284	0.393838802536521	0.0116296115625747	0.0307496933681411
"ENSG00000186827"	40.4381230334433	-0.0985286517970844	0.475805027601739	0.579866322579208
"ENSG00000078808"	2497.70430935112	0.0481015829012275	0.359056670515158	0.466977141637886
"ENSG00000176022"	469.02774349425	0.147714516509377	0.0496846261148929	0.0971184402712843
"ENSG00000184163"	31.6896856518852	0.0340632249232283	0.817392713929963	0.86860904010486
"ENSG00000160087"	1042.58917992515	-0.0480192291142451	0.411240734834379	0.518719907722835
"ENSG00000230415"	63.2533848893433	0.225696562289277	0.0332283634291309	0.0704991765938162
"ENSG00000162572"	753.308434548094	0.0430694008695466	0.59161108247839	0.683908768482238
"ENSG00000131584"	7486.02501548603	-0.00725564412254531	0.93112900809697	0.951131898188424
"ENSG00000169972"	101.16646271215	0.127500472701406	0.231158712187923	0.331965202143393
"ENSG00000127054"	2246.60453447335	0.0321093970052028	0.671142689810075	0.752108015605522
"ENSG00000240731"	136.287741856639	-0.0859924626079717	0.217926187708604	0.317357315484619
"ENSG00000224051"	791.194791111748	0.0016308211282974	0.983381594673538	0.987973349040776
"ENSG00000107404"	3270.26885560079	-0.0846550614434547	0.276914431422257	0.382515697622286
"ENSG00000162576"	697.808006734305	0.117519413820399	0.19487526478013	0.290523811940098
"ENSG00000175756"	1943.73979583263	0.0395019946181992	0.490221406896293	0.59315205095641
"ENSG00000221978"	3023.04112243545	-0.0096523691795867	0.799634625716889	0.854804450009284
"ENSG00000224870"	268.166809255801	-0.0875399366466704	0.144001537939888	0.227857440938476
"ENSG00000242485"	756.819258149115	0.182886938000028	0.00194986749484253	0.0077584533492197
"ENSG00000272455"	91.0090335451628	0.069308638153241	0.539599054830196	0.638665923866613
"ENSG00000235098"	591.287789631662	-0.0756396646150163	0.511176674546872	0.612181458218557
"ENSG00000205116"	343.755264398898	-0.346225342520051	0.032949943238279	0.0699948251055554
"ENSG00000179403"	1370.89290047622	-0.296676484981339	0.00894282070583403	0.0249445426688578
"ENSG00000215915"	172.088070965875	-0.440061726601836	0.00679935853472423	0.020064693718191
"ENSG00000160072"	974.216112765791	0.166620726022416	0.0639943697974856	0.119033620791715
