Var1	Var2	formulas	Var4	ADpresence	c1	c2	c3	NCIpresence	ADperc	NCIperc	presenceRatio
MAR10033	Fatty acid pool formation and breakdown	fatty acid pool[c] <=> 0.0004 (10Z)-heptadecenoic acid[c] + 0.0004 (11Z,14Z)-eicosadienoic acid[c] + 0.0004 (11Z,14Z,17Z)-eicosatrienoic acid[c] + 0.0004 (13Z)-eicosenoic acid[c] + 0.0004 (13Z)-octadecenoic acid[c] + 0.0004 (13Z,16Z)-docosadienoic acid[c] + 0.0038 (4Z,7Z,10Z,13Z,16Z)-DPA[c] + 0.0004 (6Z,9Z)-octadecadienoic acid[c] + 0.0004 (6Z,9Z,12Z,15Z,18Z)-TPA[c] + 0.0004 (6Z,9Z,12Z,15Z,18Z,21Z)-THA[c] + 0.0004 (7Z)-octadecenoic acid[c] + 0.0004 (7Z)-tetradecenoic acid[c] + 0.0004 (9E)-tetradecenoic acid[c] + 0.0004 (9Z,12Z,15Z,18Z)-TTA[c] + 0.0004 (9Z,12Z,15Z,18Z,21Z)-TPA[c] + 0.0004 10,13,16,19-docosatetraenoic acid[c] + 0.0004 10,13,16-docosatriynoic acid[c] + 0.0004 12,15,18,21-tetracosatetraenoic acid[c] + 0.0004 13,16,19-docosatrienoic acid[c] + 0.0004 7-palmitoleic acid[c] + 0.0004 8,11-eicosadienoic acid[c] + 0.0004 9-eicosenoic acid[c] + 0.0004 9-heptadecylenic acid[c] + 0.0014 adrenic acid[c] + 0.1083 arachidonate[c] + 0.0004 behenic acid[c] + 0.0004 cerotic acid[c] + 0.0004 cis-cetoleic acid[c] + 0.0004 cis-erucic acid[c] + 0.0004 cis-gondoic acid[c] + 0.025 cis-vaccenic acid[c] + 0.0278 DHA[c] + 0.0215 dihomo-gamma-linolenate[c] + 0.0059 DPA[c] + 0.0004 eicosanoate[c] + 0.0004 elaidate[c] + 0.0116 EPA[c] + 0.0029 gamma-linolenate[c] + 0.0004 heneicosanoic acid[c] + 0.0004 lauric acid[c] + 0.0004 lignocerate[c] + 0.1915 linoleate[c] + 0.0084 linolenate[c] + 0.0004 margaric acid[c] + 0.0004 mead acid[c] + 0.0133 myristic acid[c] + 0.0004 nervonic acid[c] + 0.0004 nonadecylic acid[c] + 0.1545 oleate[c] + 0.0115 omega-3-arachidonic acid[c] + 0.222 palmitate[c] + 0.0219 palmitolate[c] + 0.0004 pentadecylic acid[c] + 0.0004 physeteric acid[c] + 0.1498 stearate[c] + 0.0025 stearidonic acid[c] + 0.0004 tricosanoic acid[c] + 0.0004 tridecylic acid[c] + 0.0004 ximenic acid[c]	10	6	0.0526315789473684	0.0909090909090909	0.05	4	0.0638297872340425	0.0571428571428571	1.11702127659574
MAR03947		H2O2[c] <=> H2O2[x]	6	5	0.0526315789473684	0.0606060606060606	0.05	1	0.0531914893617021	0.0142857142857143	3.72340425531915
MAR10036	acyl-CoA pool formation and breakdown	acyl-CoA pool[c] <=> 0.0004 (10Z)-heptadecenoyl-CoA[c] + 0.0004 (11Z)-docosenoyl-CoA[c] + 0.0004 (11Z)-eicosenoyl-CoA[c] + 0.0004 (11Z,14Z)-eicosadienoyl-CoA[c] + 0.0004 (11Z,14Z,17Z)-eicosatrienoyl-CoA[c] + 0.0004 (13Z)-docosenoyl-CoA[c] + 0.0004 (13Z)-eicosenoyl-CoA[c] + 0.0004 (13Z)-octadecenoyl-CoA[c] + 0.0004 (13Z,16Z)-docosadienoyl-CoA[c] + 0.0004 (15Z)-tetracosenoyl-CoA[c] + 0.0038 (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + 0.0278 (4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[c] + 0.0004 (5Z,8Z,11Z)-eicosatrienoyl-CoA[c] + 0.0116 (5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA[c] + 0.0004 (6Z,9Z)-octadecadienoyl-CoA[c] + 0.0025 (6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[c] + 0.0004 (6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA[c] + 0.0004 (6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[c] + 0.0004 (7Z)-octadecenoyl-CoA[c] + 0.0004 (7Z)-tetradecenoyl-CoA[c] + 0.0014 (7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + 0.0059 (7Z,10Z,13Z,16Z,19Z)-docosapentaenoyl-CoA[c] + 0.0004 (8Z,11Z)-eicosadienoyl-CoA[c] + 0.0115 (8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA[c] + 0.0004 (9E)-octadecenoyl-CoA[c] + 0.0004 (9E)-tetradecenoyl-CoA[c] + 0.0004 (9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA[c] + 0.0004 (9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[c] + 0.0004 10,13,16,19-docosatetraenoyl-CoA[c] + 0.0004 10,13,16-docosatrienoyl-CoA[c] + 0.0004 12,15,18,21-tetracosatetraenoyl-CoA[c] + 0.0004 13,16,19-docosatrienoyl-CoA[c] + 0.0004 5-tetradecenoyl-CoA[c] + 0.0004 7-hexadecenoyl-CoA[c] + 0.0004 9-eicosenoyl-CoA[c] + 0.0004 9-heptadecenoyl-CoA[c] + 0.1083 arachidonyl-CoA[c] + 0.025 cis-vaccenoyl-CoA[c] + 0.0215 dihomo-gamma-linolenoyl-CoA[c] + 0.0004 docosanoyl-CoA[c] + 0.0004 eicosanoyl-CoA[c] + 0.0029 gamma-linolenoyl-CoA[c] + 0.0004 heneicosanoyl-CoA[c] + 0.0004 heptadecanoyl-CoA[c] + 0.0004 hexacosanoyl-CoA[c] + 0.0004 hexacosenoyl-CoA[c] + 0.0004 lauroyl-CoA[c] + 0.0084 linolenoyl-CoA[c] + 0.1915 linoleoyl-CoA[c] + 0.0133 myristoyl-CoA[c] + 0.0004 nonadecanoyl-CoA[c] + 0.1545 oleoyl-CoA[c] + 0.0219 palmitoleoyl-CoA[c] + 0.222 palmitoyl-CoA[c] + 0.0004 pentadecanoyl-CoA[c] + 0.1498 stearoyl-CoA[c] + 0.0004 tetracosanoyl-CoA[c] + 0.0004 tricosanoyl-CoA[c] + 0.0004 tridecanoyl-CoA[c]	6	4	0.0526315789473684	0.0606060606060606	0	2	0.0425531914893617	0.0285714285714286	1.48936170212766
MAR02393		(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[c] + H+[c] + NADPH[c] + O2[c] => (4Z,7Z,10Z,13Z,16Z)-docosapentaenoyl-CoA[c] + 2 H2O[c] + NADP+[c]	3	3	0.0526315789473684	0.0303030303030303	0	0	0.0319148936170213	0	Inf
MAR04898		O2[c] <=> O2[m]	8	3	0.0526315789473684	0.0303030303030303	0	5	0.0319148936170213	0.0714285714285714	0.446808510638298
MAR05422		PPi[c] <=> PPi[n]	5	2	0.0263157894736842	0.0303030303030303	0	3	0.0212765957446809	0.0428571428571429	0.49645390070922
MAR04904		O2[c] <=> O2[n]	1	1	0	0.0303030303030303	0	0	0.0106382978723404	0	Inf
MAR01530		cholesterol[c] <=> cholesterol[r]	1	1	0	0.0303030303030303	0	0	0.0106382978723404	0	Inf
MAR11371	Transport of Phosphatidylglycerol, Endoplasmatic Reticulum	PG-CL pool[m] <=> PG-CL pool[c]	1	1	0	0.0303030303030303	0	0	0.0106382978723404	0	Inf
MAR01438	Transport of Trans-Hexadec-2-Enoyl Coenzyme A	(2E)-hexadecenoyl-CoA[c] <=> (2E)-hexadecenoyl-CoA[x]	2	1	0	0.0303030303030303	0	1	0.0106382978723404	0.0142857142857143	0.74468085106383
MAR01506	Lecithin Retinol Acyltransferase (11-Cis)	11-cis-retinol[c] + PC-LD pool[c] => 2-lysolecithin pool[c] + retinyl-ester[c]	2	1	0	0.0303030303030303	0	1	0.0106382978723404	0.0142857142857143	0.74468085106383
MAR10455	Transport of 26-Hydroxycholesterol, Intracellular	26-hydroxycholesterol[m] <=> 26-hydroxycholesterol[c]	2	1	0	0.0303030303030303	0	1	0.0106382978723404	0.0142857142857143	0.74468085106383
MAR04893		H2O[c] <=> H2O[n]	3	1	0	0.0303030303030303	0	2	0.0106382978723404	0.0285714285714286	0.372340425531915
MAR00040	3- (4-Hydroxyphenyl-)Lactate Formation	4-hydroxyphenylpyruvate[m] + H+[m] + NADH[m] => NAD+[m] + 4-hydroxyphenyllactate[m]	5	1	0	0.0303030303030303	0	4	0.0106382978723404	0.0571428571428571	0.186170212765957
MAR01724	4-Hydroxycinnamate Formation	4-hydroxyphenyllactate[m] => H2O[m] + 4-coumarate[m]	5	1	0	0.0303030303030303	0	4	0.0106382978723404	0.0571428571428571	0.186170212765957
MAR04894		O2[c] <=> O2[r]	6	1	0	0.0303030303030303	0	5	0.0106382978723404	0.0714285714285714	0.148936170212766
MAR08837		phosphatidylinositol-4,5-bisphosphate[c] <=> phosphatidylinositol-4,5-bisphosphate[n]	1	0	0	0	0	1	0	0.0142857142857143	0
MAR03259		26-hydroxycholesterol[m] + NAD+[m] <=> H+[m] + NADH[m] + 7alpha-hydroxycholest-4-en-3-one[m]	2	0	0	0	0	2	0	0.0285714285714286	0
